Zip,Median_Household_income,Margin_of_Error ,Mean_income,Mean_Margin_of_Error,City,place_geoid,State
90001,"$33,887 ","$1,231 ","$42,625 ","$1,725 ",Los Angeles,16000US0644000,California
90002,"$30,413 ","$2,127 ","$40,278 ","$1,968 ",Los Angeles,16000US0644000,California
90003,"$30,805 ","$1,260 ","$39,552 ","$1,437 ",Los Angeles,16000US0644000,California
90004,"$40,612 ","$1,497 ","$72,532 ","$4,084 ",Los Angeles,16000US0644000,California
90005,"$31,142 ",$888 ,"$45,224 ","$2,396 ",Los Angeles,16000US0644000,California
90006,"$31,521 ",$590 ,"$39,123 ","$1,211 ",Los Angeles,16000US0644000,California
90007,"$22,304 ","$1,392 ","$33,382 ","$1,738 ",Los Angeles,16000US0644000,California
90008,"$36,564 ","$4,427 ","$56,076 ","$4,243 ",Los Angeles,16000US0644000,California
90010,"$45,786 ","$11,716 ","$63,806 ","$8,821 ",Los Angeles,16000US0644000,California
90011,"$30,251 ","$1,023 ","$38,870 ","$1,167 ",Los Angeles,16000US0644000,California
90012,"$31,576 ","$2,438 ","$52,569 ","$2,868 ",Los Angeles,16000US0644000,California
90013,"$19,887 ","$3,379 ","$53,527 ","$8,394 ",Los Angeles,16000US0644000,California
90014,"$23,642 ","$5,257 ","$51,769 ","$7,262 ",Los Angeles,16000US0644000,California
90015,"$29,684 ","$3,304 ","$56,573 ","$6,907 ",Los Angeles,16000US0644000,California
90016,"$38,330 ","$2,045 ","$52,082 ","$3,087 ",Los Angeles,16000US0644000,California
90017,"$22,754 ","$1,455 ","$43,541 ","$3,093 ",Los Angeles,16000US0644000,California
90018,"$33,864 ","$1,599 ","$47,420 ","$1,948 ",Los Angeles,16000US0644000,California
90019,"$46,571 ","$2,301 ","$73,491 ","$5,013 ",Los Angeles,16000US0644000,California
90020,"$38,849 ","$1,816 ","$63,797 ","$5,472 ",Los Angeles,16000US0644000,California
90021,"$12,813 ","$1,911 ","$37,432 ","$9,748 ",Los Angeles,16000US0644000,California
90023,"$35,736 ","$1,966 ","$44,934 ","$1,908 ",Los Angeles,16000US0644000,California
90024,"$57,202 ","$5,271 ","$118,490 ","$7,962 ",Los Angeles,16000US0644000,California
90025,"$71,183 ","$5,071 ","$97,416 ","$5,116 ",Los Angeles,16000US0644000,California
90026,"$47,993 ","$2,707 ","$71,459 ","$3,171 ",Los Angeles,16000US0644000,California
90027,"$51,595 ","$1,672 ","$80,500 ","$4,190 ",Los Angeles,16000US0644000,California
90028,"$33,582 ","$3,000 ","$48,350 ","$2,859 ",Los Angeles,16000US0644000,California
90029,"$33,912 ","$2,482 ","$46,169 ","$2,122 ",Los Angeles,16000US0644000,California
90031,"$34,994 ","$2,211 ","$50,597 ","$3,243 ",Los Angeles,16000US0644000,California
90032,"$45,457 ","$2,404 ","$58,494 ","$2,606 ",Los Angeles,16000US0644000,California
90033,"$27,622 ","$1,942 ","$38,778 ","$1,469 ",Los Angeles,16000US0644000,California
90034,"$58,004 ","$3,630 ","$77,982 ","$3,861 ",Los Angeles,16000US0644000,California
90035,"$73,794 ","$5,058 ","$110,288 ","$7,525 ",Los Angeles,16000US0644000,California
90036,"$69,894 ","$4,468 ","$98,934 ","$5,666 ",Los Angeles,16000US0644000,California
90037,"$27,179 ","$1,301 ","$37,157 ","$1,655 ",Los Angeles,16000US0644000,California
90038,"$33,800 ","$2,761 ","$52,802 ","$3,619 ",Los Angeles,16000US0644000,California
90039,"$70,560 ","$6,077 ","$97,230 ","$6,623 ",Los Angeles,16000US0644000,California
90041,"$63,358 ","$2,764 ","$88,588 ","$6,195 ",Los Angeles,16000US0644000,California
90042,"$49,630 ","$2,417 ","$65,797 ","$2,240 ",Los Angeles,16000US0644000,California
90043,"$38,180 ","$2,807 ","$63,343 ","$4,274 ",Los Angeles,16000US0644000,California
90044,"$29,206 ","$1,850 ","$40,429 ","$1,673 ",Los Angeles,16000US0644000,California
90045,"$75,684 ","$4,807 ","$105,568 ","$5,283 ",Los Angeles,16000US0644000,California
90046,"$57,941 ","$4,032 ","$100,249 ","$6,199 ",Los Angeles,16000US0644000,California
90047,"$39,269 ","$2,529 ","$51,763 ","$2,145 ",Los Angeles,16000US0644000,California
90048,"$78,940 ","$9,151 ","$117,366 ","$7,648 ",Los Angeles,16000US0644000,California
90049,"$115,629 ","$6,745 ","$203,686 ","$10,965 ",Los Angeles,16000US0644000,California
90056,"$84,099 ","$18,509 ","$121,296 ","$14,294 ",Los Angeles,16000US0644000,California
90057,"$27,890 ","$1,191 ","$36,914 ","$1,284 ",Los Angeles,16000US0644000,California
90058,"$17,018 ","$7,326 ","$29,280 ","$6,227 ",Los Angeles,16000US0644000,California
90059,"$32,506 ","$2,587 ","$44,163 ","$2,584 ",Los Angeles,16000US0644000,California
90061,"$33,731 ","$2,477 ","$44,364 ","$2,841 ",Los Angeles,16000US0644000,California
90062,"$34,588 ","$2,939 ","$45,127 ","$3,159 ",Los Angeles,16000US0644000,California
90063,"$40,006 ","$1,873 ","$49,949 ","$2,024 ",Los Angeles,16000US0644000,California
90064,"$87,283 ","$6,268 ","$137,077 ","$9,109 ",Los Angeles,16000US0644000,California
90065,"$54,078 ","$2,998 ","$78,633 ","$4,563 ",Los Angeles,16000US0644000,California
90066,"$68,132 ","$3,407 ","$95,379 ","$3,150 ",Los Angeles,16000US0644000,California
90067,"$97,891 ","$25,950 ","$212,657 ","$52,684 ",Los Angeles,16000US0644000,California
90068,"$73,693 ","$6,482 ","$129,224 ","$9,771 ",Los Angeles,16000US0644000,California
90069,"$78,979 ","$5,929 ","$128,939 ","$12,088 ",Los Angeles,16000US0644000,California
90071,-,**,-,**,Los Angeles,16000US0644000,California
90077,"$164,281 ","$16,128 ","$251,632 ","$31,643 ",Los Angeles,16000US0644000,California
90079,-,**,-,**,Los Angeles,16000US0644000,California
90089,-,**,N,N,Los Angeles,16000US0644000,California
90090,-,**,-,**,Los Angeles,16000US0644000,California
90094,"$104,367 ","$20,136 ","$131,195 ","$15,234 ",Los Angeles,16000US0644000,California
90095,-,**,-,**,Los Angeles,16000US0644000,California
90210,"$145,227 ","$13,982 ","$292,359 ","$34,266 ",Los Angeles,16000US0644000,California
90212,"$92,476 ","$12,897 ","$147,968 ","$16,944 ",Los Angeles,16000US0644000,California
90230,"$74,823 ","$3,481 ","$97,146 ","$5,788 ",Los Angeles,16000US0644000,California
90232,"$77,004 ","$5,622 ","$105,790 ","$7,135 ",Los Angeles,16000US0644000,California
90247,"$42,926 ","$3,214 ","$57,568 ","$2,760 ",Los Angeles,16000US0644000,California
90248,"$53,306 ","$4,356 ","$70,584 ","$5,761 ",Los Angeles,16000US0644000,California
90272,"$166,021 ","$17,331 ","$301,261 ","$22,412 ",Los Angeles,16000US0644000,California
90275,"$118,790 ","$6,611 ","$147,656 ","$6,111 ",Los Angeles,16000US0644000,California
90290,"$99,505 ","$16,291 ","$140,495 ","$23,150 ",Los Angeles,16000US0644000,California
90291,"$80,111 ","$4,434 ","$118,336 ","$9,371 ",Los Angeles,16000US0644000,California
90292,"$100,507 ","$5,994 ","$132,672 ","$11,580 ",Los Angeles,16000US0644000,California
90293,"$82,055 ","$8,208 ","$121,164 ","$10,104 ",Los Angeles,16000US0644000,California
90302,"$41,426 ","$2,715 ","$55,704 ","$2,741 ",Los Angeles,16000US0644000,California
90402,"$134,638 ","$15,366 ","$245,165 ","$27,039 ",Los Angeles,16000US0644000,California
90405,"$77,948 ","$6,823 ","$111,561 ","$7,846 ",Los Angeles,16000US0644000,California
90501,"$61,536 ","$3,386 ","$78,420 ","$3,488 ",Los Angeles,16000US0644000,California
90502,"$64,232 ","$8,249 ","$75,947 ","$5,021 ",Los Angeles,16000US0644000,California
90710,"$52,294 ","$2,381 ","$68,857 ","$2,355 ",Los Angeles,16000US0644000,California
90717,"$56,103 ","$3,761 ","$72,851 ","$4,411 ",Los Angeles,16000US0644000,California
90731,"$50,879 ","$2,484 ","$67,148 ","$2,572 ",Los Angeles,16000US0644000,California
90732,"$84,679 ","$5,926 ","$103,011 ","$5,719 ",Los Angeles,16000US0644000,California
90744,"$41,569 ","$1,711 ","$56,234 ","$2,386 ",Los Angeles,16000US0644000,California
90745,"$71,443 ","$2,791 ","$82,038 ","$3,031 ",Los Angeles,16000US0644000,California
90810,"$49,517 ","$4,277 ","$62,513 ","$3,138 ",Los Angeles,16000US0644000,California
90813,"$30,936 ","$1,342 ","$40,515 ","$1,307 ",Los Angeles,16000US0644000,California
91030,"$79,089 ","$4,263 ","$113,922 ","$6,359 ",Los Angeles,16000US0644000,California
91040,"$71,411 ","$5,762 ","$86,844 ","$5,616 ",Los Angeles,16000US0644000,California
91042,"$58,020 ","$4,701 ","$74,316 ","$3,853 ",Los Angeles,16000US0644000,California
91105,"$107,209 ","$13,122 ","$165,505 ","$11,369 ",Los Angeles,16000US0644000,California
91214,"$87,612 ","$4,199 ","$106,358 ","$4,937 ",Los Angeles,16000US0644000,California
91303,"$45,793 ","$5,148 ","$58,928 ","$3,022 ",Los Angeles,16000US0644000,California
91304,"$61,339 ","$2,646 ","$78,105 ","$2,472 ",Los Angeles,16000US0644000,California
91306,"$61,529 ","$1,947 ","$74,726 ","$2,810 ",Los Angeles,16000US0644000,California
91307,"$100,075 ","$3,648 ","$122,271 ","$6,138 ",Los Angeles,16000US0644000,California
91311,"$80,593 ","$3,723 ","$105,871 ","$5,539 ",Los Angeles,16000US0644000,California
91316,"$61,539 ","$4,112 ","$98,232 ","$9,655 ",Los Angeles,16000US0644000,California
91324,"$61,958 ","$4,202 ","$82,754 ","$5,153 ",Los Angeles,16000US0644000,California
91325,"$60,774 ","$2,862 ","$84,862 ","$3,815 ",Los Angeles,16000US0644000,California
91326,"$101,073 ","$2,402 ","$124,058 ","$5,970 ",Los Angeles,16000US0644000,California
91330,-,**,-,**,Los Angeles,16000US0644000,California
91331,"$51,986 ","$1,639 ","$61,216 ","$1,764 ",Los Angeles,16000US0644000,California
91335,"$51,206 ","$2,014 ","$66,034 ","$2,357 ",Los Angeles,16000US0644000,California
91340,"$54,182 ","$3,839 ","$64,743 ","$4,126 ",Los Angeles,16000US0644000,California
91342,"$60,361 ","$2,804 ","$72,201 ","$2,161 ",Los Angeles,16000US0644000,California
91343,"$55,956 ","$3,101 ","$75,194 ","$3,307 ",Los Angeles,16000US0644000,California
91344,"$79,680 ","$3,298 ","$98,765 ","$3,467 ",Los Angeles,16000US0644000,California
91345,"$61,728 ","$4,228 ","$75,151 ","$4,454 ",Los Angeles,16000US0644000,California
91352,"$51,154 ","$1,847 ","$64,790 ","$2,438 ",Los Angeles,16000US0644000,California
91356,"$68,078 ","$3,787 ","$110,939 ","$5,306 ",Los Angeles,16000US0644000,California
91364,"$92,830 ","$7,899 ","$121,929 ","$6,838 ",Los Angeles,16000US0644000,California
91367,"$80,083 ","$6,790 ","$107,372 ","$4,654 ",Los Angeles,16000US0644000,California
91371,-,**,-,**,Los Angeles,16000US0644000,California
91401,"$50,418 ","$2,784 ","$68,812 ","$2,640 ",Los Angeles,16000US0644000,California
91402,"$37,190 ","$1,753 ","$50,677 ","$1,707 ",Los Angeles,16000US0644000,California
91403,"$80,890 ","$4,875 ","$125,177 ","$8,665 ",Los Angeles,16000US0644000,California
91405,"$39,013 ","$1,743 ","$53,494 ","$2,039 ",Los Angeles,16000US0644000,California
91406,"$49,835 ","$2,756 ","$66,396 ","$2,749 ",Los Angeles,16000US0644000,California
91411,"$45,667 ","$3,199 ","$66,209 ","$3,366 ",Los Angeles,16000US0644000,California
91423,"$79,028 ","$6,368 ","$121,304 ","$7,100 ",Los Angeles,16000US0644000,California
91436,"$135,585 ","$11,062 ","$201,420 ","$16,499 ",Los Angeles,16000US0644000,California
91504,"$70,608 ","$3,418 ","$92,052 ","$4,517 ",Los Angeles,16000US0644000,California
91505,"$76,357 ","$3,610 ","$88,658 ","$3,657 ",Los Angeles,16000US0644000,California
91601,"$48,499 ","$3,087 ","$64,510 ","$2,656 ",Los Angeles,16000US0644000,California
91602,"$65,920 ","$7,791 ","$92,651 ","$7,144 ",Los Angeles,16000US0644000,California
91604,"$90,801 ","$6,691 ","$136,128 ","$7,331 ",Los Angeles,16000US0644000,California
91605,"$42,254 ","$2,075 ","$55,959 ","$1,961 ",Los Angeles,16000US0644000,California
91606,"$41,498 ","$1,812 ","$56,899 ","$2,338 ",Los Angeles,16000US0644000,California
91607,"$53,531 ","$4,596 ","$82,535 ","$5,635 ",Los Angeles,16000US0644000,California
91608,-,**,-,**,Los Angeles,16000US0644000,California
